Activity Type,Date,Environment,Country,City,Title,Distance (km),Calories,Time,Avg HR,Max HR
Cycling,11/9/2013 10:34,Outdoor,USA,"Frisco, TX",Untitled,72.81,"2,123",3:03:29,150,188
Cycling,11/16/2013 7:46,Outdoor,USA,"Frisco, TX",Untitled,109.21,"3,120",4:30:11,154,181
Cycling,11/21/2013 16:39,Outdoor,USA,"Frisco, TX",Untitled,25.36,840,0:54:10,160,178
Cycling,12/6/2013 7:09,Outdoor,USA,"Frisco, TX",Untitled,37.27,"1,425",1:28:20,169,186
Cycling,12/7/2013 6:40,Outdoor,USA,"Frisco, TX",Untitled,45.35,"2,609",3:15:14,157,184
Cycling,2/9/2014 14:08,Outdoor,USA,"Frisco, TX",First 2014 Cycling Ride,26.51,841,1:04:28,154,181
Cycling,2/16/2014 7:54,Outdoor,USA,"Frisco, TX",Treindo D ,26.83,"1,388",1:02:55,159,175
Cycling,2/23/2014 7:46,Outdoor,USA,"Frisco, TX",Fazendinha 45 Miles Route,84.73,"4,331",4:08:35,163,185
Cycling,3/19/2014 16:59,Outdoor,USA,"Frisco, TX",15 Miles Timing Race,25.55,915,1:00:42,162,186
Cycling,3/20/2014 18:42,Outdoor,USA,"Frisco, TX",Untitled,43.46,"2,109",1:38:29,153,181
Cycling,4/5/2014 8:03,Outdoor,USA,"Frisco, TX",shawnee trail - CPS Staturday Route,67.26,"2,000",2:37:56,155,187
Cycling,4/8/2014 18:15,Outdoor,USA,"Frisco, TX",Untitled,26.93,954,1:05:48,162,188
Cycling,4/9/2014 11:22,Outdoor,USA,"Frisco, TX",Untitled,22.77,737,1:03:57,143,160
Cycling,4/10/2014 18:31,Outdoor,USA,"Frisco, TX",Untitled,43.7,"1,430",1:41:31,159,191
Cycling,4/12/2014 7:10,Outdoor,USA,"Frisco, TX",Untitled,100.22,"2,959",4:01:10,157,188
Cycling,4/19/2014 6:57,Outdoor,USA,"Frisco, TX",Untitled,84,"2,045",3:29:20,139,177
Cycling,4/22/2014 17:52,Outdoor,USA,"Frisco, TX",Untitled,5.89,169,0:16:24,133,170
Cycling,4/26/2014 7:16,Outdoor,USA,"Frisco, TX",Untitled,102.64,"3,044",4:01:52,155,190
Cycling,4/29/2014 18:32,Outdoor,USA,"Frisco, TX",Untitled,43.87,"1,322",1:39:32,153,186
Cycling,5/3/2014 7:05,Outdoor,USA,"Fortworth, Tx",MS150 2014 Day 1_1,148.3,"4,432",5:12:27,155,182
Cycling,5/3/2014 14:30,Outdoor,USA,"Fortworth, Tx",MS150 2014 Day 1_2,21.4,742,0:50:50,154,177
Cycling,5/4/2014 6:31,Outdoor,USA,"Fortworth, Tx",MS150 2014 Day_2,110.57,"3,716",4:58:41,149,189
Cycling,5/15/2014 18:11,Outdoor,USA,"Frisco, TX",Untitled,50.32,"1,528",1:45:30,159,192
Cycling,5/15/2014 20:28,Outdoor,USA,"Frisco, TX",Untitled,10.66,475,0:31:16,158,183
Cycling,6/4/2014 18:05,Outdoor,USA,"Frisco, TX",Untitled,33.86,986,1:27:22,139,173
Cycling,6/5/2014 18:39,Outdoor,USA,"Frisco, TX",Untitled,44.51,"1,594",1:39:38,165,193
Cycling,6/14/2014 7:59,Outdoor,USA,"Frisco, TX",Untitled,76.54,"2,754",3:15:38,163,191
Cycling,7/4/2014 7:22,Outdoor,USA,"Frisco, TX",Untitled,67.5,"2,206",2:39:30,160,195
Cycling,7/19/2014 6:36,Outdoor,USA,"Frisco, TX",Untitled,73.88,"2,197",2:52:51,154,188
Cycling,7/24/2014 18:30,Outdoor,USA,"Frisco, TX",Untitled,56.14,"2,628",1:50:35,154,192
